PatternConfig Name,Benchmark,Profiler,MemCellType,Cache Level,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Total Hits,Total Misses,Total Read Latency (ms),Total Write Latency (ms),Total Hit Latency (ms),Total Miss Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Hit Energy (mJ),Total Miss Energy (mJ),Total Energy (mJ),Cache Hit Latency (ns),Cache Miss Latency (ns),Cache Write Latency (ns),Cache Hit Energy (nJ),Cache Miss Energy (nJ),Cache Write Energy (nJ),Leakage Power (mW),Total Area (mm^2)
memsyspatternconfig_omnetpp_s_l3,core_0,sniper,MRAM (Magnetoresistive),N/A,cache,8MB,128,WriteEDP,6789,2448,9237,0,3.6890548658545366,1.0156223587043,3.6890548658545366,0.0,4.704677224558837,0.015302127557287194,0.002050660498440952,0.015302127557287194,0.0,0.017352788055728145,39.93780302971242,3.1006472943369903,41.487841450339054,0.1656612272089119,0.1656612272089119,0.08376881121082319,4.283008340818741,5.019305141722197
memsyspatternconfig_deepsjeng_s_l3,core_0,sniper,MRAM (Magnetoresistive),N/A,cache,8MB,128,WriteEDP,5824,15574569,15580393,0,6222.466667595102,6461.552493293658,6222.466667595102,0.0,12684.01916088876,25.810670247771405,13.046631302509395,25.810670247771405,0.0,38.8573015502808,39.93780302971242,3.1006472943369903,41.487841450339054,0.1656612272089119,0.1656612272089119,0.08376881121082319,4.283008340818741,5.019305141722197
memsyspatternconfig_blender_r_l3,core_0,sniper,MRAM (Magnetoresistive),N/A,cache,8MB,128,WriteEDP,275359,804452,1079811,0,431.25279027316805,333.74977030408155,431.25279027316805,0.0,765.0025605772496,1.7888281541368238,0.6738798771616915,1.7888281541368238,0.0,2.4627080312985155,39.93780302971242,3.1006472943369903,41.487841450339054,0.1656612272089119,0.1656612272089119,0.08376881121082319,4.283008340818741,5.019305141722197
memsyspatternconfig_fotonik3d_s_l3,core_0,sniper,MRAM (Magnetoresistive),N/A,cache,8MB,128,WriteEDP,8085,52510,0,0,0.0,21.78526554557304,0.0,0.0,21.78526554557304,0.0,0.043987002766803264,0.0,0.0,0.043987002766803264,39.93780302971242,3.1006472943369903,41.487841450339054,0.1656612272089119,0.1656612272089119,0.08376881121082319,4.283008340818741,5.019305141722197
memsyspatternconfig_wrf_s_l3,core_0,sniper,MRAM (Magnetoresistive),N/A,cache,8MB,128,WriteEDP,2506442,3794119,0,0,0.0,1574.09807515719,0.0,0.0,1574.09807515719,0.0,3.1782883822239727,0.0,0.0,3.1782883822239727,39.93780302971242,3.1006472943369903,41.487841450339054,0.1656612272089119,0.1656612272089119,0.08376881121082319,4.283008340818741,5.019305141722197
memsyspatternconfig_leela_s_l3,core_0,sniper,MRAM (Magnetoresistive),N/A,cache,8MB,128,WriteEDP,9037,70387,79424,0,31.720200678318793,29.20204696165015,31.720200678318793,0.0,60.922247639968944,0.1315747730984062,0.058962353146962125,0.1315747730984062,0.0,0.19053712624536834,39.93780302971242,3.1006472943369903,41.487841450339054,0.1656612272089119,0.1656612272089119,0.08376881121082319,4.283008340818741,5.019305141722197
memsyspatternconfig_mcf_r_l3,core_0,sniper,MRAM (Magnetoresistive),N/A,cache,8MB,128,WriteEDP,33519188,441448,33960636,0,13563.131913317608,183.14724632569278,13563.131913317608,0.0,13746.2791596433,56.259606365551534,0.3697957417139548,56.259606365551534,0.0,56.62940210726549,39.93780302971242,3.1006472943369903,41.487841450339054,0.1656612272089119,0.1656612272089119,0.08376881121082319,4.283008340818741,5.019305141722197
memsyspatternconfig_bwaves_s_l3,core_0,sniper,MRAM (Magnetoresistive),N/A,cache,8MB,128,WriteEDP,2212814,95528896,0,0,0.0,39632.87691173929,0.0,0.0,39632.87691173929,0.0,80.02342054202363,0.0,0.0,80.02342054202363,39.93780302971242,3.1006472943369903,41.487841450339054,0.1656612272089119,0.1656612272089119,0.08376881121082319,4.283008340818741,5.019305141722197
memsyspatternconfig_lbm_s_l3,core_0,sniper,MRAM (Magnetoresistive),N/A,cache,8MB,128,WriteEDP,12288371,64084740,0,0,0.0,26587.375325062014,0.0,0.0,26587.375325062014,0.0,53.683024865546905,0.0,0.0,53.683024865546905,39.93780302971242,3.1006472943369903,41.487841450339054,0.1656612272089119,0.1656612272089119,0.08376881121082319,4.283008340818741,5.019305141722197
memsyspatternconfig_roms_s_l3,core_0,sniper,MRAM (Magnetoresistive),N/A,cache,8MB,128,WriteEDP,39696,35125553,0,0,0.0,14572.833737194813,0.0,0.0,14572.833737194813,0.0,29.424258179327644,0.0,0.0,29.424258179327644,39.93780302971242,3.1006472943369903,41.487841450339054,0.1656612272089119,0.1656612272089119,0.08376881121082319,4.283008340818741,5.019305141722197
